tokens,ner_tags
"['Recap', 'the', 'trends', 'in', 'tool', 'wear', 'and', 'rotational', 'speed', '.']","['B-SUMMARY', 'O', 'B-PARAM', 'O', 'B-PARAM', 'I-PARAM', 'O', 'B-PARAM', 'I-PARAM', 'O']"
"['Outline', 'the', 'fluctuation', 'of', 'torque', 'over', 'time', '.']","['B-SUMMARY', 'O', 'O', 'O', 'B-PARAM', 'O', 'O', 'O']"
"['Digest', 'the', 'process', 'temperature', 'readings', 'from', 'the', 'last', 'shift', '.']","['B-SUMMARY', 'O', 'B-PARAM', 'I-PARAM', 'I-PARAM', 'O', 'O', 'O', 'O', 'O']"
"['Summarize', 'the', 'hourly', 'variations', 'in', 'air', 'temperature', '.']","['B-SUMMARY', 'O', 'O', 'O', 'O', 'B-PARAM', 'I-PARAM', 'O']"
"['Provide', 'a', 'summary', 'of', 'the', 'torque', 'and', 'rotational', 'speed', 'data', '.']","['O', 'O', 'B-SUMMARY', 'O', 'O', 'B-PARAM', 'O', 'B-PARAM', 'I-PARAM', 'O', 'O']"
"['Recap', 'the', 'sensor', 'measurements', 'for', 'process', 'temperature', 'and', 'tool', 'wear', '.']","['B-SUMMARY', 'O', 'O', 'O', 'O', 'B-PARAM', 'I-PARAM', 'O', 'B-PARAM', 'I-PARAM', 'O']"
"['Outline', 'the', 'trend', 'of', 'rotational', 'speed', 'and', 'its', 'fluctuations', '.']","['B-SUMMARY', 'O', 'O', 'O', 'B-PARAM', 'I-PARAM', 'O', 'O', 'I-PARAM', 'O']"
"['Digest', 'the', 'latest', 'readings', 'of', 'tool', 'wear', '.']","['B-SUMMARY', 'O', 'O', 'O', 'O', 'B-PARAM', 'I-PARAM', 'O']"
"['Summarize', 'the', 'air', 'temperature', 'measurements', 'recorded', 'today', '.']","['B-SUMMARY', 'O', 'B-PARAM', 'I-PARAM', 'O', 'O', 'O', 'O']"
"['Provide', 'a', 'summary', 'of', 'the', 'process', 'temperature', 'fluctuations', 'during', 'peak', 'hours', '.']","['O', 'O', 'B-SUMMARY', 'O', 'O', 'B-PARAM', 'I-PARAM', 'I-PARAM', 'O', 'B-PARAM', 'I-PARAM', 'O']"
"['Recap', 'the', 'variations', 'in', 'rotational', 'speed', 'over', 'the', 'last', '24', 'hours', '.']","['B-SUMMARY', 'O', 'O', 'O', 'B-PARAM', 'I-PARAM', 'O', 'O', 'B-PARAM', 'I-PARAM', 'I-PARAM', 'O']"
"['Outline', 'the', 'torque', 'readings', 'captured', 'this', 'morning', '.']","['B-SUMMARY', 'O', 'B-PARAM', 'I-PARAM', 'O', 'B-PARAM', 'I-PARAM', 'O']"
"['Digest', 'the', 'summary', 'of', 'rotational', 'speed', 'fluctuations', 'and', 'torque', 'changes', '.']","['B-SUMMARY', 'O', 'B-SUMMARY', 'O', 'B-PARAM', 'I-PARAM', 'I-PARAM', 'O', 'B-PARAM', 'I-PARAM', 'O']"
"['Provide', 'a', 'brief', 'recap', 'of', 'air', 'temperature', 'and', 'tool', 'wear', 'data', '.']","['O', 'O', 'O', 'B-SUMMARY', 'O', 'B-PARAM', 'I-PARAM', 'O', 'B-PARAM', 'I-PARAM', 'O', 'O']"
"['Summarize', 'the', 'trend', 'in', 'process', 'temperature', 'during', 'the', 'operation', '.']","['B-SUMMARY', 'O', 'O', 'O', 'B-PARAM', 'I-PARAM', 'O', 'O', 'B-PARAM', 'O']"
"['Recap', 'the', 'sensor', 'performance', 'focusing', 'on', 'rotational', 'speed', 'and', 'torque', '.']","['B-SUMMARY', 'O', 'O', 'O', 'O', 'O', 'B-PARAM', 'I-PARAM', 'O', 'B-PARAM', 'O']"
"['Outline', 'the', 'latest', 'measurements', 'of', 'air', 'temperature', 'and', 'process', 'temperature', '.']","['B-SUMMARY', 'O', 'O', 'O', 'O', 'B-PARAM', 'I-PARAM', 'O', 'B-PARAM', 'I-PARAM', 'O']"
"['Digest', 'the', 'recorded', 'values', 'of', 'tool', 'wear', 'over', 'the', 'past', 'cycle', '.']","['B-SUMMARY', 'O', 'O', 'O', 'O', 'B-PARAM', 'I-PARAM', 'O', 'O', 'B-PARAM', 'I-PARAM', 'O']"
"['Summarize', 'the', 'variation', 'in', 'torque', 'and', 'its', 'impact', 'on', 'performance', '.']","['B-SUMMARY', 'O', 'O', 'O', 'B-PARAM', 'O', 'O', 'O', 'O', 'B-PARAM', 'O']"
"['Provide', 'a', 'summary', 'of', 'rotational', 'speed', 'fluctuations', 'during', 'high', 'load', '.']","['O', 'O', 'B-SUMMARY', 'O', 'B-PARAM', 'I-PARAM', 'I-PARAM', 'O', 'B-PARAM', 'I-PARAM', 'O']"
"['Recap', 'the', 'air', 'temperature', 'trend', 'observed', 'in', 'the', 'morning', 'shift', '.']","['B-SUMMARY', 'O', 'B-PARAM', 'I-PARAM', 'I-PARAM', 'O', 'O', 'O', 'B-PARAM', 'I-PARAM', 'O']"
"['Outline', 'the', 'process', 'temperature', 'statistics', 'from', 'the', 'last', 'quarter', '.']","['B-SUMMARY', 'O', 'B-PARAM', 'I-PARAM', 'I-PARAM', 'O', 'O', 'B-PARAM', 'I-PARAM', 'O']"
"['Digest', 'the', 'recent', 'changes', 'in', 'tool', 'wear', 'measurements', '.']","['B-SUMMARY', 'O', 'O', 'O', 'O', 'B-PARAM', 'I-PARAM', 'I-PARAM', 'O']"
"['Summarize', 'the', 'torque', 'and', 'rotational', 'speed', 'statistics', 'for', 'the', 'current', 'cycle', '.']","['B-SUMMARY', 'O', 'B-PARAM', 'O', 'B-PARAM', 'I-PARAM', 'I-PARAM', 'O', 'O', 'B-PARAM', 'I-PARAM', 'O']"
"['Provide', 'a', 'concise', 'overview', 'of', 'air', 'temperature', 'readings', '.']","['O', 'O', 'O', 'B-SUMMARY', 'O', 'B-PARAM', 'I-PARAM', 'O', 'O']"
"['Recap', 'the', 'fluctuations', 'in', 'process', 'temperature', 'over', 'the', 'past', 'week', '.']","['B-SUMMARY', 'O', 'O', 'O', 'B-PARAM', 'I-PARAM', 'O', 'O', 'B-PARAM', 'I-PARAM', 'O']"
"['Outline', 'the', 'key', 'performance', 'parameters', 'including', 'torque', 'and', 'tool', 'wear', '.']","['B-SUMMARY', 'O', 'O', 'O', 'B-PARAM', 'O', 'B-PARAM', 'O', 'B-PARAM', 'I-PARAM', 'O']"
"['Digest', 'the', 'summary', 'of', 'rotational', 'speed', 'data', 'collected', 'yesterday', '.']","['B-SUMMARY', 'O', 'B-SUMMARY', 'O', 'B-PARAM', 'I-PARAM', 'O', 'O', 'B-PARAM', 'O']"
"['Summarize', 'the', 'overall', 'sensor', 'data', 'focusing', 'on', 'process', 'temperature', '.']","['B-SUMMARY', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PARAM', 'I-PARAM', 'O']"
"['Provide', 'a', 'report', 'summarizing', 'torque', 'fluctuations', 'and', 'rotational', 'speed', '.']","['O', 'O', 'O', 'B-SUMMARY', 'B-PARAM', 'I-PARAM', 'O', 'B-PARAM', 'I-PARAM', 'O']"
"['Recap', 'the', 'changes', 'in', 'air', 'temperature', 'during', 'the', 'operation', 'period', '.']","['B-SUMMARY', 'O', 'O', 'O', 'B-PARAM', 'I-PARAM', 'O', 'O', 'B-PARAM', 'I-PARAM', 'O']"
"['Outline', 'the', 'trend', 'in', 'tool', 'wear', 'observed', 'this', 'quarter', '.']","['B-SUMMARY', 'O', 'O', 'O', 'B-PARAM', 'I-PARAM', 'O', 'B-PARAM', 'I-PARAM', 'O']"
"['Digest', 'the', 'performance', 'metrics', 'for', 'rotational', 'speed', 'and', 'torque', '.']","['B-SUMMARY', 'O', 'O', 'O', 'O', 'B-PARAM', 'I-PARAM', 'O', 'B-PARAM', 'O']"
"['Summarize', 'the', 'variation', 'in', 'tool', 'wear', 'over', 'multiple', 'cycles', '.']","['B-SUMMARY', 'O', 'O', 'O', 'B-PARAM', 'I-PARAM', 'O', 'B-PARAM', 'I-PARAM', 'O']"
"['Provide', 'a', 'summary', 'of', 'the', 'sensor', 'outputs', 'focusing', 'on', 'process', 'temperature', '.']","['O', 'O', 'B-SUMMARY', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PARAM', 'I-PARAM', 'O']"
"['Recap', 'the', 'latest', 'torque', 'and', 'tool', 'wear', 'readings', '.']","['B-SUMMARY', 'O', 'O', 'B-PARAM', 'O', 'B-PARAM', 'I-PARAM', 'I-PARAM', 'O']"
"['Outline', 'the', 'data', 'trends', 'for', 'air', 'temperature', 'and', 'rotational', 'speed', '.']","['B-SUMMARY', 'O', 'O', 'O', 'O', 'B-PARAM', 'I-PARAM', 'O', 'B-PARAM', 'I-PARAM', 'O']"
"['Digest', 'the', 'recorded', 'sensor', 'metrics', 'focusing', 'on', 'torque', 'fluctuations', '.']","['B-SUMMARY', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PARAM', 'I-PARAM', 'O']"
"['Summarize', 'the', 'hourly', 'rotational', 'speed', 'and', 'tool', 'wear', 'data', '.']","['B-SUMMARY', 'O', 'O', 'B-PARAM', 'I-PARAM', 'O', 'B-PARAM', 'I-PARAM', 'O', 'O']"
