Logs,Summary
"Air temperature dropping to 297.4K.
Low rotational speed: 1330 rpm.
Torque decreasing to 26.6 Nm.
System operating within normal parameters.",The fluctuating rotational speeds (1330–1330 rpm). 
"Low rotational speed: 1389 rpm.
Process temperature exceeds threshold at 309.7K.
Torque increasing to 45.3 Nm.
Air temperature rising to 299.7K.","The process temperature frequently exceeded the threshold, fluctuating rotational speeds (1389–1389 rpm). "
"Air temperature dropping to 297.3K.
Low rotational speed: 1304 rpm.
Torque decreasing to 28.0 Nm.
System operating within normal parameters.",The fluctuating rotational speeds (1304–1304 rpm). 
"Low rotational speed: 1352 rpm.
Process temperature exceeds threshold at 310.0K.
Torque increasing to 46.7 Nm.
Air temperature rising to 299.1K.","The process temperature frequently exceeded the threshold, fluctuating rotational speeds (1352–1352 rpm). "
"Air temperature dropping to 297.0K.
Low rotational speed: 1316 rpm.
Torque decreasing to 29.2 Nm.
System operating within normal parameters.",The fluctuating rotational speeds (1316–1316 rpm). 
"Process temperature exceeds threshold at 309.6K.
High rotational speed detected: 1896 rpm.
Torque increasing to 47.0 Nm.
Failure detected: Tool Wear Failure.",The process temperature frequently exceeded the threshold. A Tool Wear Failure was detected.
"Low rotational speed: 1332 rpm.
Process temperature exceeds threshold at 309.6K.
Torque increasing to 53.5 Nm.
Air temperature rising to 299.8K.","The process temperature frequently exceeded the threshold, fluctuating rotational speeds (1332–1332 rpm). "
"Low rotational speed: 1371 rpm.
Process temperature exceeds threshold at 309.3K.
Torque increasing to 47.1 Nm.
Air temperature rising to 299.6K.","The process temperature frequently exceeded the threshold, fluctuating rotational speeds (1371–1371 rpm). "
"Low rotational speed: 1344 rpm.
Process temperature exceeds threshold at 309.3K.
Torque increasing to 53.3 Nm.
Air temperature rising to 299.2K.","The process temperature frequently exceeded the threshold, fluctuating rotational speeds (1344–1344 rpm). "
"Process temperature exceeds threshold at 309.3K.
High rotational speed detected: 1953 rpm.
Torque increasing to 48.7 Nm.
Failure detected: Tool Wear Failure.",The process temperature frequently exceeded the threshold. A Tool Wear Failure was detected.
"Process temperature exceeds threshold at 310.0K.
High rotational speed detected: 1913 rpm.
Torque increasing to 50.4 Nm.
Failure detected: Tool Wear Failure.",The process temperature frequently exceeded the threshold. A Tool Wear Failure was detected.
"Air temperature dropping to 297.3K.
Low rotational speed: 1340 rpm.
Torque decreasing to 29.3 Nm.
System operating within normal parameters.",The fluctuating rotational speeds (1340–1340 rpm). 
"Air temperature dropping to 297.4K.
Low rotational speed: 1362 rpm.
Torque decreasing to 26.5 Nm.
System operating within normal parameters.",The fluctuating rotational speeds (1362–1362 rpm). 
"Process temperature exceeds threshold at 309.4K.
High rotational speed detected: 1900 rpm.
Torque increasing to 47.5 Nm.
Failure detected: Tool Wear Failure.",The process temperature frequently exceeded the threshold. A Tool Wear Failure was detected.
"Low rotational speed: 1323 rpm.
Process temperature exceeds threshold at 309.6K.
Torque increasing to 50.0 Nm.
Air temperature rising to 300.0K.","The process temperature frequently exceeded the threshold, fluctuating rotational speeds (1323–1323 rpm). "
"Process temperature exceeds threshold at 310.0K.
High rotational speed detected: 1832 rpm.
Torque increasing to 51.9 Nm.
Failure detected: Tool Wear Failure.",The process temperature frequently exceeded the threshold. A Tool Wear Failure was detected.
"Low rotational speed: 1349 rpm.
Process temperature exceeds threshold at 309.3K.
Torque increasing to 48.0 Nm.
Air temperature rising to 299.3K.","The process temperature frequently exceeded the threshold, fluctuating rotational speeds (1349–1349 rpm). "
"Air temperature dropping to 297.3K.
Low rotational speed: 1363 rpm.
Torque decreasing to 25.1 Nm.
System operating within normal parameters.",The fluctuating rotational speeds (1363–1363 rpm). 
"Low rotational speed: 1390 rpm.
Process temperature exceeds threshold at 309.3K.
Torque increasing to 47.0 Nm.
Air temperature rising to 299.9K.","The process temperature frequently exceeded the threshold, fluctuating rotational speeds (1390–1390 rpm). "
"Low rotational speed: 1388 rpm.
Process temperature exceeds threshold at 309.8K.
Torque increasing to 51.5 Nm.
Air temperature rising to 299.0K.","The process temperature frequently exceeded the threshold, fluctuating rotational speeds (1388–1388 rpm). "
"Low rotational speed: 1378 rpm.
Process temperature exceeds threshold at 309.1K.
Torque increasing to 50.1 Nm.
Air temperature rising to 299.5K.","The process temperature frequently exceeded the threshold, fluctuating rotational speeds (1378–1378 rpm). "
"Process temperature exceeds threshold at 309.8K.
High rotational speed detected: 1832 rpm.
Torque increasing to 54.4 Nm.
Failure detected: Tool Wear Failure.",The process temperature frequently exceeded the threshold. A Tool Wear Failure was detected.
"Low rotational speed: 1343 rpm.
Process temperature exceeds threshold at 309.3K.
Torque increasing to 46.8 Nm.
Air temperature rising to 299.3K.","The process temperature frequently exceeded the threshold, fluctuating rotational speeds (1343–1343 rpm). "
"Low rotational speed: 1392 rpm.
Process temperature exceeds threshold at 309.3K.
Torque increasing to 45.0 Nm.
Air temperature rising to 299.6K.","The process temperature frequently exceeded the threshold, fluctuating rotational speeds (1392–1392 rpm). "
"Low rotational speed: 1378 rpm.
Process temperature exceeds threshold at 309.1K.
Torque increasing to 50.1 Nm.
Air temperature rising to 299.7K.","The process temperature frequently exceeded the threshold, fluctuating rotational speeds (1378–1378 rpm). "
"Air temperature dropping to 297.1K.
Low rotational speed: 1318 rpm.
Torque decreasing to 28.8 Nm.
System operating within normal parameters.",The fluctuating rotational speeds (1318–1318 rpm). 
"Air temperature dropping to 297.1K.
Low rotational speed: 1353 rpm.
Torque decreasing to 27.4 Nm.
System operating within normal parameters.",The fluctuating rotational speeds (1353–1353 rpm). 
"Air temperature dropping to 297.3K.
Low rotational speed: 1370 rpm.
Torque decreasing to 26.1 Nm.
System operating within normal parameters.",The fluctuating rotational speeds (1370–1370 rpm). 
"Low rotational speed: 1349 rpm.
Process temperature exceeds threshold at 309.1K.
Torque increasing to 54.4 Nm.
Air temperature rising to 299.9K.","The process temperature frequently exceeded the threshold, fluctuating rotational speeds (1349–1349 rpm). "
"Air temperature dropping to 297.2K.
Low rotational speed: 1322 rpm.
Torque decreasing to 29.1 Nm.
System operating within normal parameters.",The fluctuating rotational speeds (1322–1322 rpm). 
"Low rotational speed: 1326 rpm.
Process temperature exceeds threshold at 309.7K.
Torque increasing to 47.0 Nm.
Air temperature rising to 300.0K.","The process temperature frequently exceeded the threshold, fluctuating rotational speeds (1326–1326 rpm). "
"Air temperature dropping to 298.0K.
Low rotational speed: 1378 rpm.
Torque decreasing to 28.3 Nm.
System operating within normal parameters.",The fluctuating rotational speeds (1378–1378 rpm). 
"Process temperature exceeds threshold at 309.4K.
High rotational speed detected: 1886 rpm.
Torque increasing to 49.1 Nm.
Failure detected: Tool Wear Failure.",The process temperature frequently exceeded the threshold. A Tool Wear Failure was detected.
"Air temperature dropping to 297.4K.
Low rotational speed: 1384 rpm.
Torque decreasing to 27.3 Nm.
System operating within normal parameters.",The fluctuating rotational speeds (1384–1384 rpm). 
"Air temperature dropping to 297.5K.
Low rotational speed: 1324 rpm.
Torque decreasing to 30.0 Nm.
System operating within normal parameters.",The fluctuating rotational speeds (1324–1324 rpm). 
"Air temperature dropping to 297.7K.
Low rotational speed: 1346 rpm.
Torque decreasing to 26.7 Nm.
System operating within normal parameters.",The fluctuating rotational speeds (1346–1346 rpm). 
"Low rotational speed: 1355 rpm.
Process temperature exceeds threshold at 309.2K.
Torque increasing to 54.9 Nm.
Air temperature rising to 300.0K.","The process temperature frequently exceeded the threshold, fluctuating rotational speeds (1355–1355 rpm). "
"Air temperature dropping to 297.3K.
Low rotational speed: 1319 rpm.
Torque decreasing to 28.1 Nm.
System operating within normal parameters.",The fluctuating rotational speeds (1319–1319 rpm). 
"Low rotational speed: 1324 rpm.
Process temperature exceeds threshold at 309.1K.
Torque increasing to 52.3 Nm.
Air temperature rising to 299.4K.","The process temperature frequently exceeded the threshold, fluctuating rotational speeds (1324–1324 rpm). "
"Low rotational speed: 1378 rpm.
Process temperature exceeds threshold at 309.3K.
Torque increasing to 52.2 Nm.
Air temperature rising to 299.4K.","The process temperature frequently exceeded the threshold, fluctuating rotational speeds (1378–1378 rpm). "
"Low rotational speed: 1311 rpm.
Process temperature exceeds threshold at 309.8K.
Torque increasing to 55.2 Nm.
Air temperature rising to 299.1K.","The process temperature frequently exceeded the threshold, fluctuating rotational speeds (1311–1311 rpm). "
"Air temperature dropping to 298.0K.
Low rotational speed: 1394 rpm.
Torque decreasing to 29.7 Nm.
System operating within normal parameters.",The fluctuating rotational speeds (1394–1394 rpm). 
"Low rotational speed: 1310 rpm.
Process temperature exceeds threshold at 309.4K.
Torque increasing to 45.2 Nm.
Air temperature rising to 299.7K.","The process temperature frequently exceeded the threshold, fluctuating rotational speeds (1310–1310 rpm). "
"Low rotational speed: 1302 rpm.
Process temperature exceeds threshold at 309.4K.
Torque increasing to 50.0 Nm.
Air temperature rising to 299.3K.","The process temperature frequently exceeded the threshold, fluctuating rotational speeds (1302–1302 rpm). "
"Air temperature dropping to 297.1K.
Low rotational speed: 1323 rpm.
Torque decreasing to 28.3 Nm.
System operating within normal parameters.",The fluctuating rotational speeds (1323–1323 rpm). 
"Process temperature exceeds threshold at 309.8K.
High rotational speed detected: 1850 rpm.
Torque increasing to 52.6 Nm.
Failure detected: Tool Wear Failure.",The process temperature frequently exceeded the threshold. A Tool Wear Failure was detected.
"Process temperature exceeds threshold at 309.9K.
High rotational speed detected: 1970 rpm.
Torque increasing to 47.8 Nm.
Failure detected: Tool Wear Failure.",The process temperature frequently exceeded the threshold. A Tool Wear Failure was detected.
"Process temperature exceeds threshold at 309.9K.
High rotational speed detected: 1929 rpm.
Torque increasing to 51.5 Nm.
Failure detected: Tool Wear Failure.",The process temperature frequently exceeded the threshold. A Tool Wear Failure was detected.
"Process temperature exceeds threshold at 309.1K.
High rotational speed detected: 1836 rpm.
Torque increasing to 47.5 Nm.
Failure detected: Tool Wear Failure.",The process temperature frequently exceeded the threshold. A Tool Wear Failure was detected.
