tokens,ner_tags
Show the average system load and tool wear.,Show O the O average B-FUNC system B-PARAM load I-PARAM and O tool B-PARAM wear I-PARAM . O
Calculate the latest system load and rotation speed and summary.,Calculate O the O latest B-FUNC system B-PARAM load I-PARAM and O rotation B-PARAM speed I-PARAM and O summary B-PARAM . O
Determine the maximum torque and summary and air pressure.,Determine O the O maximum B-FUNC torque B-PARAM and O summary B-PARAM and O air B-PARAM pressure I-PARAM . O
Calculate the average system load.,Calculate O the O average B-FUNC system B-PARAM load I-PARAM . O
Calculate the average fault detection and power consumption.,Calculate O the O average B-FUNC fault B-PARAM detection I-PARAM and O power B-PARAM consumption I-PARAM . O
Find the trend power consumption and torque.,Find O the O trend B-FUNC power B-PARAM consumption I-PARAM and O torque B-PARAM . O
Determine the minimum air pressure and torque.,Determine O the O minimum B-FUNC air B-PARAM pressure I-PARAM and O torque B-PARAM . O
Find the maximum air pressure.,Find O the O maximum B-FUNC air B-PARAM pressure I-PARAM . O
Identify the maximum fault detection.,Identify O the O maximum B-FUNC fault B-PARAM detection I-PARAM . O
Find the latest rotation speed and power consumption and fault detection.,Find O the O latest B-FUNC rotation B-PARAM speed I-PARAM and O power B-PARAM consumption I-PARAM and O fault B-PARAM detection I-PARAM . O
Determine the latest system load and fault detection.,Determine O the O latest B-FUNC system B-PARAM load I-PARAM and O fault B-PARAM detection I-PARAM . O
Calculate the maximum summary and rotation speed and air pressure.,Calculate O the O maximum B-FUNC summary B-PARAM and O rotation B-PARAM speed I-PARAM and O air B-PARAM pressure I-PARAM . O
Determine the minimum torque.,Determine O the O minimum B-FUNC torque B-PARAM . O
Show the maximum temperature and rotation speed and torque.,Show O the O maximum B-FUNC temperature B-PARAM and O rotation B-PARAM speed I-PARAM and O torque B-PARAM . O
Calculate the average power consumption and system load and fault detection.,Calculate O the O average B-FUNC power B-PARAM consumption I-PARAM and O system B-PARAM load I-PARAM and O fault B-PARAM detection I-PARAM . O
Measure the trend summary and torque and system load.,Measure O the O trend B-FUNC summary B-PARAM and O torque B-PARAM and O system B-PARAM load I-PARAM . O
Find the trend torque.,Find O the O trend B-FUNC torque B-PARAM . O
Identify the minimum system load.,Identify O the O minimum B-FUNC system B-PARAM load I-PARAM . O
Show the minimum summary and tool wear and torque.,Show O the O minimum B-FUNC summary B-PARAM and O tool B-PARAM wear I-PARAM and O torque B-PARAM . O
Calculate the average rotation speed.,Calculate O the O average B-FUNC rotation B-PARAM speed I-PARAM . O
Determine the minimum fault detection.,Determine O the O minimum B-FUNC fault B-PARAM detection I-PARAM . O
Identify the average rotation speed and power consumption.,Identify O the O average B-FUNC rotation B-PARAM speed I-PARAM and O power B-PARAM consumption I-PARAM . O
Determine the latest system load.,Determine O the O latest B-FUNC system B-PARAM load I-PARAM . O
Show the maximum torque.,Show O the O maximum B-FUNC torque B-PARAM . O
Determine the maximum torque.,Determine O the O maximum B-FUNC torque B-PARAM . O
Show the trend system load and summary and power consumption.,Show O the O trend B-FUNC system B-PARAM load I-PARAM and O summary B-PARAM and O power B-PARAM consumption I-PARAM . O
Determine the minimum air pressure and rotation speed and summary.,Determine O the O minimum B-FUNC air B-PARAM pressure I-PARAM and O rotation B-PARAM speed I-PARAM and O summary B-PARAM . O
Show the maximum tool wear and torque and system load.,Show O the O maximum B-FUNC tool B-PARAM wear I-PARAM and O torque B-PARAM and O system B-PARAM load I-PARAM . O
Find the latest rotation speed and air pressure.,Find O the O latest B-FUNC rotation B-PARAM speed I-PARAM and O air B-PARAM pressure I-PARAM . O
Find the average tool wear.,Find O the O average B-FUNC tool B-PARAM wear I-PARAM . O
Identify the latest system load.,Identify O the O latest B-FUNC system B-PARAM load I-PARAM . O
Measure the average power consumption.,Measure O the O average B-FUNC power B-PARAM consumption I-PARAM . O
Determine the trend rotation speed and tool wear.,Determine O the O trend B-FUNC rotation B-PARAM speed I-PARAM and O tool B-PARAM wear I-PARAM . O
Show the average fault detection and system load and summary.,Show O the O average B-FUNC fault B-PARAM detection I-PARAM and O system B-PARAM load I-PARAM and O summary B-PARAM . O
Identify the trend torque and tool wear and rotation speed.,Identify O the O trend B-FUNC torque B-PARAM and O tool B-PARAM wear I-PARAM and O rotation B-PARAM speed I-PARAM . O
Measure the minimum system load and air pressure.,Measure O the O minimum B-FUNC system B-PARAM load I-PARAM and O air B-PARAM pressure I-PARAM . O
Determine the minimum tool wear.,Determine O the O minimum B-FUNC tool B-PARAM wear I-PARAM . O
Calculate the maximum summary and tool wear.,Calculate O the O maximum B-FUNC summary B-PARAM and O tool B-PARAM wear I-PARAM . O
Measure the latest fault detection.,Measure O the O latest B-FUNC fault B-PARAM detection I-PARAM . O
Determine the maximum tool wear.,Determine O the O maximum B-FUNC tool B-PARAM wear I-PARAM . O
Measure the minimum fault detection and temperature.,Measure O the O minimum B-FUNC fault B-PARAM detection I-PARAM and O temperature B-PARAM . O
Calculate the minimum power consumption and air pressure.,Calculate O the O minimum B-FUNC power B-PARAM consumption I-PARAM and O air B-PARAM pressure I-PARAM . O
Find the latest temperature and air pressure.,Find O the O latest B-FUNC temperature B-PARAM and O air B-PARAM pressure I-PARAM . O
Find the minimum temperature and torque.,Find O the O minimum B-FUNC temperature B-PARAM and O torque B-PARAM . O
Show the latest fault detection and power consumption.,Show O the O latest B-FUNC fault B-PARAM detection I-PARAM and O power B-PARAM consumption I-PARAM . O
Determine the maximum system load.,Determine O the O maximum B-FUNC system B-PARAM load I-PARAM . O
Determine the minimum fault detection.,Determine O the O minimum B-FUNC fault B-PARAM detection I-PARAM . O
Identify the latest fault detection.,Identify O the O latest B-FUNC fault B-PARAM detection I-PARAM . O
Calculate the average torque and tool wear and fault detection.,Calculate O the O average B-FUNC torque B-PARAM and O tool B-PARAM wear I-PARAM and O fault B-PARAM detection I-PARAM . O
Measure the latest air pressure and rotation speed.,Measure O the O latest B-FUNC air B-PARAM pressure I-PARAM and O rotation B-PARAM speed I-PARAM . O
Determine the minimum torque and power consumption.,Determine O the O minimum B-FUNC torque B-PARAM and O power B-PARAM consumption I-PARAM . O
Identify the latest torque.,Identify O the O latest B-FUNC torque B-PARAM . O
Show the latest air pressure.,Show O the O latest B-FUNC air B-PARAM pressure I-PARAM . O
Find the trend tool wear.,Find O the O trend B-FUNC tool B-PARAM wear I-PARAM . O
Identify the trend tool wear and summary and torque.,Identify O the O trend B-FUNC tool B-PARAM wear I-PARAM and O summary B-PARAM and O torque B-PARAM . O
Identify the trend summary and system load and tool wear.,Identify O the O trend B-FUNC summary B-PARAM and O system B-PARAM load I-PARAM and O tool B-PARAM wear I-PARAM . O
Show the average fault detection and power consumption.,Show O the O average B-FUNC fault B-PARAM detection I-PARAM and O power B-PARAM consumption I-PARAM . O
Calculate the trend fault detection and air pressure.,Calculate O the O trend B-FUNC fault B-PARAM detection I-PARAM and O air B-PARAM pressure I-PARAM . O
Find the trend air pressure and tool wear.,Find O the O trend B-FUNC air B-PARAM pressure I-PARAM and O tool B-PARAM wear I-PARAM . O
Show the average rotation speed and system load and tool wear.,Show O the O average B-FUNC rotation B-PARAM speed I-PARAM and O system B-PARAM load I-PARAM and O tool B-PARAM wear I-PARAM . O
Measure the minimum fault detection.,Measure O the O minimum B-FUNC fault B-PARAM detection I-PARAM . O
Determine the minimum fault detection and system load.,Determine O the O minimum B-FUNC fault B-PARAM detection I-PARAM and O system B-PARAM load I-PARAM . O
Show the average fault detection.,Show O the O average B-FUNC fault B-PARAM detection I-PARAM . O
Calculate the latest rotation speed and summary and air pressure.,Calculate O the O latest B-FUNC rotation B-PARAM speed I-PARAM and O summary B-PARAM and O air B-PARAM pressure I-PARAM . O
Show the average torque.,Show O the O average B-FUNC torque B-PARAM . O
Determine the trend power consumption and fault detection and torque.,Determine O the O trend B-FUNC power B-PARAM consumption I-PARAM and O fault B-PARAM detection I-PARAM and O torque B-PARAM . O
Calculate the latest rotation speed and system load and summary.,Calculate O the O latest B-FUNC rotation B-PARAM speed I-PARAM and O system B-PARAM load I-PARAM and O summary B-PARAM . O
Calculate the average tool wear and air pressure.,Calculate O the O average B-FUNC tool B-PARAM wear I-PARAM and O air B-PARAM pressure I-PARAM . O
Show the latest temperature and fault detection and air pressure.,Show O the O latest B-FUNC temperature B-PARAM and O fault B-PARAM detection I-PARAM and O air B-PARAM pressure I-PARAM . O
Measure the maximum temperature.,Measure O the O maximum B-FUNC temperature B-PARAM . O
Identify the latest torque and tool wear.,Identify O the O latest B-FUNC torque B-PARAM and O tool B-PARAM wear I-PARAM . O
Show the minimum fault detection and air pressure.,Show O the O minimum B-FUNC fault B-PARAM detection I-PARAM and O air B-PARAM pressure I-PARAM . O
Calculate the average rotation speed and fault detection.,Calculate O the O average B-FUNC rotation B-PARAM speed I-PARAM and O fault B-PARAM detection I-PARAM . O
Find the average rotation speed.,Find O the O average B-FUNC rotation B-PARAM speed I-PARAM . O
Identify the maximum rotation speed and temperature and summary.,Identify O the O maximum B-FUNC rotation B-PARAM speed I-PARAM and O temperature B-PARAM and O summary B-PARAM . O
Determine the minimum summary and rotation speed and system load.,Determine O the O minimum B-FUNC summary B-PARAM and O rotation B-PARAM speed I-PARAM and O system B-PARAM load I-PARAM . O
Show the maximum fault detection.,Show O the O maximum B-FUNC fault B-PARAM detection I-PARAM . O
Find the minimum tool wear and power consumption.,Find O the O minimum B-FUNC tool B-PARAM wear I-PARAM and O power B-PARAM consumption I-PARAM . O
Calculate the latest fault detection.,Calculate O the O latest B-FUNC fault B-PARAM detection I-PARAM . O
Calculate the latest air pressure and rotation speed and summary.,Calculate O the O latest B-FUNC air B-PARAM pressure I-PARAM and O rotation B-PARAM speed I-PARAM and O summary B-PARAM . O
Calculate the latest temperature and rotation speed.,Calculate O the O latest B-FUNC temperature B-PARAM and O rotation B-PARAM speed I-PARAM . O
Calculate the average tool wear.,Calculate O the O average B-FUNC tool B-PARAM wear I-PARAM . O
Calculate the trend tool wear and torque and fault detection.,Calculate O the O trend B-FUNC tool B-PARAM wear I-PARAM and O torque B-PARAM and O fault B-PARAM detection I-PARAM . O
Determine the latest fault detection.,Determine O the O latest B-FUNC fault B-PARAM detection I-PARAM . O
Find the trend system load and air pressure.,Find O the O trend B-FUNC system B-PARAM load I-PARAM and O air B-PARAM pressure I-PARAM . O
Show the maximum rotation speed.,Show O the O maximum B-FUNC rotation B-PARAM speed I-PARAM . O
Show the average temperature.,Show O the O average B-FUNC temperature B-PARAM . O
Measure the latest temperature and rotation speed and tool wear.,Measure O the O latest B-FUNC temperature B-PARAM and O rotation B-PARAM speed I-PARAM and O tool B-PARAM wear I-PARAM . O
Determine the maximum air pressure and tool wear and power consumption.,Determine O the O maximum B-FUNC air B-PARAM pressure I-PARAM and O tool B-PARAM wear I-PARAM and O power B-PARAM consumption I-PARAM . O
Measure the latest power consumption and tool wear and summary.,Measure O the O latest B-FUNC power B-PARAM consumption I-PARAM and O tool B-PARAM wear I-PARAM and O summary B-PARAM . O
Identify the latest rotation speed.,Identify O the O latest B-FUNC rotation B-PARAM speed I-PARAM . O
Calculate the trend fault detection.,Calculate O the O trend B-FUNC fault B-PARAM detection I-PARAM . O
Measure the maximum tool wear.,Measure O the O maximum B-FUNC tool B-PARAM wear I-PARAM . O
Identify the average air pressure and tool wear and fault detection.,Identify O the O average B-FUNC air B-PARAM pressure I-PARAM and O tool B-PARAM wear I-PARAM and O fault B-PARAM detection I-PARAM . O
Determine the maximum summary and temperature and rotation speed.,Determine O the O maximum B-FUNC summary B-PARAM and O temperature B-PARAM and O rotation B-PARAM speed I-PARAM . O
Identify the trend fault detection and system load.,Identify O the O trend B-FUNC fault B-PARAM detection I-PARAM and O system B-PARAM load I-PARAM . O
Determine the maximum fault detection and rotation speed.,Determine O the O maximum B-FUNC fault B-PARAM detection I-PARAM and O rotation B-PARAM speed I-PARAM . O
Measure the trend fault detection.,Measure O the O trend B-FUNC fault B-PARAM detection I-PARAM . O
Show the trend system load.,Show O the O trend B-FUNC system B-PARAM load I-PARAM . O
Measure the latest summary and power consumption.,Measure O the O latest B-FUNC summary B-PARAM and O power B-PARAM consumption I-PARAM . O
Identify the minimum system load.,Identify O the O minimum B-FUNC system B-PARAM load I-PARAM . O
Show the minimum air pressure and tool wear.,Show O the O minimum B-FUNC air B-PARAM pressure I-PARAM and O tool B-PARAM wear I-PARAM . O
Show the trend air pressure and power consumption and fault detection.,Show O the O trend B-FUNC air B-PARAM pressure I-PARAM and O power B-PARAM consumption I-PARAM and O fault B-PARAM detection I-PARAM . O
Calculate the maximum air pressure and tool wear.,Calculate O the O maximum B-FUNC air B-PARAM pressure I-PARAM and O tool B-PARAM wear I-PARAM . O
Identify the trend torque.,Identify O the O trend B-FUNC torque B-PARAM . O
Determine the maximum fault detection.,Determine O the O maximum B-FUNC fault B-PARAM detection I-PARAM . O
